GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_7: Land area in square kilometres,v_CA21_6: Population density per square kilometre,"v_CA21_1: Population, 2021",v_CA21_389: Average age,v_CA21_386: Average age,v_CA21_1139: Inequality measures for the population in private households,v_CA21_1055: LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable,"v_CA21_1070: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",v_CA21_4237: Total - Private households by tenure,v_CA21_4293: Total - Households 'spending 30% or more of income on shelter costs' or 'not suitable' or 'major repairs needed',"v_CA21_4302: Total - Owner and tenant households with household total income greater than zero and shelter-cost-to-income ratio less than 100%, in non-farm, non-reserve private dwellings",v_CA21_6492: Total - Population aged 15 years and over by labour force status
48110083,DA,48110083,0.2533,638,348,313,0.25,2518.8,638,31.8,33.3,635,635,70,11.6,310,150,305,445
48110084,DA,48110084,0.0063,17,5,5,0.01,2698.4,17,,,,,,,,,,
48110085,DA,48110085,0.183,525,252,220,0.18,2868.9,525,28.0,29.6,525,525,110,20.8,205,110,195,330
48110086,DA,48110086,0.163,385,163,152,0.16,2362,385,49.6,46.4,385,385,25,7.2,145,40,150,305
48110087,DA,48110087,0.0924,238,109,101,0.09,2575.8,238,46.4,44.2,,240,5,,95,25,,195
48110088,DA,48110088,0.1256,334,147,135,0.13,2659.2,334,43.6,42.2,335,335,20,6,130,25,135,265
48110089,DA,48110089,0.1325,483,179,164,0.13,3645.3,483,38.0,38.5,480,480,30,6,180,70,175,415
48110090,DA,48110090,0.1822,413,190,185,0.18,2266.7,413,46.0,44.3,415,415,20,6,180,40,175,400
48110091,DA,48110091,0.1951,413,180,172,0.2,2116.9,413,50.8,46.7,410,410,15,4,180,40,175,385
48110092,DA,48110092,0.1255,371,167,154,0.13,2956.2,371,40.8,41.8,370,370,40,11,165,60,165,360
48110093,DA,48110093,0.1421,455,221,198,0.14,3202,455,43.2,42.6,455,455,40,8.5,205,70,210,445
48110094,DA,48110094,0.2571,512,226,221,0.26,1991.4,512,46.0,43.8,510,510,30,5.6,220,55,215,435
48110095,DA,48110095,0.1652,480,215,202,0.17,2905.6,480,40.4,41.8,480,480,30,6.4,195,60,190,365
48110096,DA,48110096,0.1249,432,228,194,0.12,3458.8,432,38.4,40.7,435,435,15,4,190,55,185,380
48110097,DA,48110097,0.1419,497,224,197,0.14,3502.5,497,38.0,39.3,500,500,35,7.2,175,60,180,370
48110098,DA,48110098,0.1826,386,187,166,0.18,2113.9,386,40.8,40.7,390,390,10,2.8,170,60,165,305
48110099,DA,48110099,0.1098,459,238,208,0.11,4180.3,459,36.4,37.9,460,460,55,11.6,245,105,235,430
48110100,DA,48110100,0.2561,513,260,244,0.26,2003.1,513,46.0,46.0,485,485,10,2,265,100,265,475
48110101,DA,48110101,0.1735,448,232,216,0.17,2582.1,448,44.0,43.2,450,450,25,5.6,225,60,220,385
48110102,DA,48110102,0.1615,498,206,178,0.16,3083.6,498,38.4,38.4,470,470,40,9.6,160,70,150,295
48110103,DA,48110103,0.2693,473,243,227,0.27,1756.4,473,41.6,42.8,470,470,35,8,215,85,200,425
48110104,DA,48110104,0.2791,482,236,203,0.28,1727,482,40.4,41.1,480,480,30,6.8,220,85,215,505
48110105,DA,48110105,0.4343,459,250,212,0.43,1056.9,459,38.0,39.6,460,460,65,14.4,200,90,195,360
48110106,DA,48110106,0.537,621,296,266,0.54,1156.4,621,40.0,40.7,615,615,35,6,255,115,245,485
48110107,DA,48110107,0.6702,574,300,256,0.67,856.5,574,39.2,39.1,570,570,70,12,275,125,260,475
48110108,DA,48110108,0.1262,409,238,206,0.13,3240.9,409,42.4,42.0,410,410,65,16,225,130,210,375
48110109,DA,48110109,0.1287,441,240,194,0.13,3426.6,441,42.0,42.0,440,440,60,13.6,180,75,165,305
48110110,DA,48110110,0.1462,564,291,256,0.15,3857.7,564,40.8,41.7,565,565,60,10.8,275,165,270,510
48110111,DA,48110111,0.1031,420,290,218,0.1,4073.7,420,42.4,41.9,395,395,70,16.5,230,115,225,390
48110112,DA,48110112,0.1446,638,299,267,0.14,4412.2,638,43.2,43.0,550,550,60,10.8,275,185,265,470
48110113,DA,48110113,0.1224,611,378,305,0.12,4991.8,611,42.4,41.1,600,600,80,13.8,290,135,280,485
48110114,DA,48110114,0.1784,625,310,269,0.18,3503.4,625,40.4,41.1,625,625,60,9.6,255,140,245,515
48110115,DA,48110115,0.1364,512,271,230,0.14,3753.7,512,42.0,43.0,490,490,20,3.6,205,80,205,385
48110116,DA,48110116,0.1227,463,235,212,0.12,3773.4,463,40.0,41.6,465,465,60,12.8,210,70,195,395
48110117,DA,48110117,0.1373,556,268,236,0.14,4049.5,556,42.4,41.8,555,555,35,6.4,235,105,235,535
48110118,DA,48110118,0.1266,482,245,214,0.13,3807.3,482,40.8,41.3,480,480,40,7.6,210,75,210,375
48110119,DA,48110119,0.1289,512,249,218,0.13,3972.1,512,39.2,40.5,505,505,35,6.4,220,85,215,455
48110120,DA,48110120,0.1359,954,619,531,0.14,7019.9,954,39.6,40.6,950,955,95,10.2,530,280,530,840
48110121,DA,48110121,0.1655,715,354,322,0.17,4320.2,715,40.0,40.3,715,715,90,12.8,355,125,355,720
48110122,DA,48110122,0.1433,411,216,192,0.14,2868.1,411,46.0,43.5,410,410,35,8.5,170,65,165,360
48110123,DA,48110123,0.2222,492,244,211,0.22,2214.2,492,40.0,39.8,495,495,75,15.6,205,130,205,400
48110124,DA,48110124,0.1459,537,313,266,0.15,3680.6,537,38.4,38.8,535,535,95,18,265,130,260,475
48110125,DA,48110125,1.1172,595,316,297,1.12,532.6,595,40.4,40.6,595,595,40,6.8,280,85,265,520
48110126,DA,48110126,0.8824,670,405,368,0.88,759.3,670,60.4,56.2,620,620,40,7.2,370,170,360,525
48110127,DA,48110127,0.0398,470,365,300,0.04,11809,470,37.6,38.8,470,470,70,15.2,305,160,300,460
48110130,DA,48110130,0.0154,486,290,264,0.02,31558.4,486,36.4,39.0,485,485,45,9.2,250,165,240,380
48110131,DA,48110131,0.0267,548,566,251,0.03,20524.3,548,38.4,41.1,480,480,65,14,250,120,250,415
48110132,DA,48110132,0.0941,1571,1034,815,0.09,16695,1571,31.4,34.0,1575,1575,185,11.6,885,360,860,1510
48110134,DA,48110134,0.0443,430,257,226,0.04,9706.5,430,41.6,41.0,365,365,60,15.6,230,115,225,350
48110135,DA,48110135,0.0491,416,308,270,0.05,8472.5,416,61.6,51.7,390,390,70,18.5,275,130,265,355
48110136,DA,48110136,0.0963,609,502,366,0.1,6324,609,48.8,45.9,520,520,105,20.8,350,220,330,420
48110142,DA,48110142,0.0368,531,350,262,0.04,14429.3,531,34.4,43.0,415,415,95,23.2,265,145,235,375
48110144,DA,48110144,0.022,761,590,492,0.02,34590.9,761,36.0,40.2,740,740,70,10,455,200,440,690
48110145,DA,48110145,0.044,467,376,324,0.04,10613.6,467,31.4,34.5,465,465,85,18.4,300,155,270,390
48110146,DA,48110146,0.0427,540,464,387,0.04,12646.4,540,39.2,44.7,540,540,70,12.8,385,115,380,515
48110148,DA,48110148,0.2627,378,173,165,0.26,1438.9,378,52.0,46.8,380,380,10,2,170,30,165,385
48110149,DA,48110149,0.5757,398,379,281,0.58,691.3,398,36.4,42.2,400,400,40,10,285,120,265,390
48110150,DA,48110150,0.087,987,801,678,0.09,11344.8,987,32.8,35.6,985,985,105,10.6,770,300,755,1090
48110153,DA,48110153,0.0767,882,607,474,0.08,11499.3,882,36.0,44.8,695,695,120,16.8,470,290,420,655
48110154,DA,48110154,0.1062,947,794,645,0.11,8917.1,947,34.8,41.8,945,945,105,11.2,600,250,535,840
48110155,DA,48110155,0.0435,601,452,413,0.04,13816.1,601,39.2,43.9,590,590,65,10.8,425,195,420,605
48110156,DA,48110156,0.084,700,209,191,0.08,8333.3,700,68.0,64.3,285,285,20,8,200,100,200,295
48110157,DA,48110157,0.0572,662,518,462,0.06,11573.4,662,34.0,38.9,665,665,75,11.2,455,225,445,620
48110158,DA,48110158,0.0394,500,401,362,0.04,12690.4,500,55.2,53.3,500,500,30,6.8,375,90,365,520
48110159,DA,48110159,0.0428,920,701,614,0.04,21495.3,920,54.8,53.0,920,920,50,5.8,645,235,630,955
48110160,DA,48110160,0.0264,473,350,321,0.03,17916.7,473,40.4,46.1,475,475,55,10.8,335,120,325,480
48110161,DA,48110161,0.0513,1141,827,742,0.05,22241.7,1141,38.8,43.7,1140,1140,90,8,705,280,690,965
48110163,DA,48110163,0.0288,449,314,279,0.03,15590.3,449,34.8,38.3,445,445,70,16,275,120,250,440
48110164,DA,48110164,0.029,452,326,296,0.03,15586.2,452,43.2,46.3,450,455,40,8.8,295,130,290,450
48110165,DA,48110165,0.0284,480,383,340,0.03,16901.4,480,34.4,37.6,480,480,65,13.2,340,145,320,430
48110166,DA,48110166,0.0581,598,466,417,0.06,10292.6,598,35.2,40.1,595,595,70,11.6,445,200,410,595
48110167,DA,48110167,0.0637,605,447,398,0.06,9497.6,605,32.4,34.8,605,605,70,11.6,405,180,405,540
48110169,DA,48110169,0.0515,608,459,398,0.05,11805.8,608,35.6,40.0,595,595,70,11.6,385,155,370,510
48110170,DA,48110170,0.0654,422,316,283,0.07,6452.6,422,34.0,36.3,420,420,50,12.4,280,140,260,385
48110171,DA,48110171,0.0629,615,438,396,0.06,9777.4,615,36.8,38.4,615,615,85,13.2,410,200,390,570
48110172,DA,48110172,0.0485,476,343,307,0.05,9814.4,476,35.6,40.9,475,475,45,10,295,120,285,420
